Compound,TreatmentGroup,P1,P2,P4,P5,P6,P7,P8,meanLog2FC,sdLog2FC,meanFC,p_value_tLOG,fdr_tLOG
DG 16:0_20:4 [-20:4],PRED,-0.49933242919545967,-0.9750868774883733,-0.7496445101754122,0.270134449251477,-1.0619423205693008,0.49343586669236594,-0.8399016025197327,-0.4803339177149194,0.6186891043331093,-1.3950665228837984,0.08575491980154876,0.21095710271180995
DG 18:0_18:2 [-18:2],PRED,0.971275710963369,-0.571463501268655,-0.47200747807104815,0.45453846211049054,-1.6302433800220224,1.0527313548834174,-0.13385574673479078,-0.047003511162748486,0.9546144201583202,-1.0331169020319775,0.9006090234133617,0.9508575955351373
DG 18:0_20:4 [-20:4],PRED,0.1299320025793424,-0.8558951800918744,-0.28327143141167116,0.497949479847209,-1.125267438692354,0.5984810634502853,0,-0.14829592918843756,0.6516773085054832,-1.1082596535228866,0.5691661229114552,0.7099821307102543
DG 18:1_18:2 [-18:2],PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
DG 18:1_20:4 [-20:4],PRED,-1.0237687637884785,-1.7893138625463938,-0.9299270179142525,-0.07050121241903466,-2.4443020937840383,-0.724012016315651,-1.1514203040851196,-1.161892181550424,0.7631188211629808,-2.2375069778547685,0.006893504542965401,0.044626371514986544
DG 18:2_18:2 [-18:2],PRED,1.300325840402151,-0.8239800254364142,0.04185612802319958,0.12943589277016504,-1.0498727884821548,1.2396777624140498,0.09540572206135207,0.1332640759646212,0.9048127651756076,1.0967723272721945,0.7102324628403052,0.8202684782099299
DG 18:2_20:4 [-20:4],PRED,-0.8910372833406731,-1.2116179497422725,-0.8733622669349078,0.2709947950412228,-1.5870338507408508,-0.11332526748039658,-1.2237266441642611,-0.8041583524803056,0.6583434631613142,-1.7461268293809828,0.017871085007305935,0.07451333748808917
TG 46:1,PRED,-1.4989613081449666,-1.0440596313017128,-1.7115600704993676,-0.9807556033123401,-1.3340243798268325,-0.11318800837392627,-1.120263914753347,-1.1146875594589276,0.5128336749227935,-2.165481067921083,0.0012035971863644651,0.02314676350436333
TG 46:2,PRED,-1.4944344922536683,-1.2243860913869045,-1.8685812387110423,-1.009151336490305,-1.7495793717492314,0.15253614112316075,0.015581789964069925,-1.0254306570719887,0.8130620963737716,-2.035566928031469,0.015673609810513273,0.06764400023484676
TG 48:0,PRED,-0.49323777371412586,0.025588632427581873,-0.606342583057869,-1.6121367487988512,-1.855615171033101,-0.9594542788920603,0.3624135666736559,-0.7341120509135385,0.8096639993305079,-1.6633733822422305,0.05337706711823885,0.14921316489871314
